행정구역구분명,행정구역명,총 인구수,인구소멸비율,시군구
시군,경기도 과천시,70785,0.117,과천시
시군,경기도 광명시,354079,0.138,광명시
시군,경기도 광주시,283308,0.124,광주시
시군,경기도 구리시,190434,0.128,구리시
시군,경기도 군포시,286329,0.137,군포시
시군,경기도 김포시,305875,0.124,김포시
시군,경기도 남양주시,612877,0.123,남양주시
시군,경기도 동두천시,97371,0.108,동두천시
시군,경기도 부천시,866181,0.136,부천시
구,경기도 부천시 소사구,230382,0.134,부천시소사구
구,경기도 부천시 오정구,190385,0.122,부천시오정구
구,경기도 부천시 원미구,445414,0.142,부천시원미구
구,경기도 성남시 분당구,490744,0.138,성남시분당구
구,경기도 성남시 수정구,231040,0.13,성남시수정구
구,경기도 성남시 중원구,258106,0.131,성남시중원구
구,경기도 수원시 권선구,331611,0.144,수원시권선구
구,경기도 수원시 영통구,303522,0.155,수원시영통구
구,경기도 수원시 장안구,299650,0.13,수원시장안구
구,경기도 수원시 팔달구,205339,0.136,수원시팔달구
시군,경기도 시흥시,397529,0.127,시흥시
구,경기도 안산시 단원구,331846,0.133,안산시단원구
구,경기도 안산시 상록구,382442,0.133,안산시상록구
시군,경기도 안성시,182645,0.112,안성시
구,경기도 안양시 동안구,357823,0.134,안양시동안구
구,경기도 안양시 만안구,251200,0.128,안양시만안구
시군,경기도 양주시,199577,0.112,양주시
시군,경기도 양평군,103529,0.08,양평군
시군,경기도 여주군,109506,0.096,여주군
시군,경기도 연천군,45708,0.079,연천군
시군,경기도 오산시,203059,0.152,오산시
구,경기도 용인시 기흥구,387578,0.136,용인시기흥구
구,경기도 용인시 수지구,333130,0.13,용인시수지구
구,경기도 용인시 처인구,213224,0.116,용인시처인구
시군,경기도 의왕시,160006,0.129,의왕시
시군,경기도 의정부시,429892,0.12,의정부시
시군,경기도 이천시,206036,0.124,이천시
시군,경기도 파주시,400031,0.122,파주시
시군,경기도 평택시,439523,0.12,평택시
시군,경기도 포천시,156795,0.094,포천시
시군,경기도 하남시,145187,0.118,하남시
시군,경기도 화성시,528335,0.135,화성시
시군,경기도 가평군,61155,0.079,가평군
구,경기도 고양시 덕양구,403454,0.122,고양시덕양구
구,경기도 고양시 일산동구,282541,0.134,고양시일산동구
구,경기도 고양시 일산서구,292810,0.123,고양시일산서구
시군,경기도 과천시,70862,0.117,과천시
시군,경기도 광명시,354228,0.138,광명시
시군,경기도 광주시,282207,0.124,광주시
시군,경기도 구리시,190644,0.129,구리시
시군,경기도 군포시,286162,0.138,군포시
시군,경기도 김포시,303833,0.124,김포시
시군,경기도 남양주시,611424,0.123,남양주시
시군,경기도 동두천시,97435,0.109,동두천시
시군,경기도 부천시,866780,0.136,부천시
구,경기도 부천시 소사구,230466,0.135,부천시소사구
구,경기도 부천시 오정구,190592,0.122,부천시오정구
구,경기도 부천시 원미구,445722,0.142,부천시원미구
구,경기도 성남시 분당구,490662,0.138,성남시분당구
구,경기도 성남시 수정구,231504,0.131,성남시수정구
구,경기도 성남시 중원구,258154,0.131,성남시중원구
구,경기도 수원시 권선구,331755,0.144,수원시권선구
구,경기도 수원시 영통구,302591,0.155,수원시영통구
구,경기도 수원시 장안구,298855,0.13,수원시장안구
구,경기도 수원시 팔달구,205625,0.136,수원시팔달구
시군,경기도 시흥시,397899,0.127,시흥시
구,경기도 안산시 단원구,332011,0.133,안산시단원구
구,경기도 안산시 상록구,382289,0.133,안산시상록구
시군,경기도 안성시,182468,0.112,안성시
구,경기도 안양시 동안구,357677,0.134,안양시동안구
구,경기도 안양시 만안구,251536,0.128,안양시만안구
시군,경기도 양주시,199376,0.112,양주시
시군,경기도 양평군,103257,0.08,양평군
시군,경기도 여주군,109436,0.096,여주군
시군,경기도 연천군,45719,0.08,연천군
시군,경기도 오산시,201885,0.153,오산시
구,경기도 용인시 기흥구,385868,0.137,용인시기흥구
구,경기도 용인시 수지구,332619,0.13,용인시수지구
구,경기도 용인시 처인구,212976,0.116,용인시처인구
시군,경기도 의왕시,159842,0.129,의왕시
시군,경기도 의정부시,429866,0.12,의정부시
시군,경기도 이천시,205993,0.124,이천시
시군,경기도 파주시,399374,0.122,파주시
시군,경기도 평택시,438790,0.12,평택시
시군,경기도 포천시,156749,0.094,포천시
시군,경기도 하남시,145282,0.118,하남시
시군,경기도 화성시,527960,0.135,화성시
시군,경기도 가평군,60985,0.079,가평군
구,경기도 고양시 덕양구,401761,0.122,고양시덕양구
구,경기도 고양시 일산동구,282773,0.134,고양시일산동구
구,경기도 고양시 일산서구,292188,0.123,고양시일산서구
시군,경기도 과천시,70898,0.117,과천시
시군,경기도 광명시,354323,0.138,광명시
시군,경기도 광주시,280786,0.124,광주시
시군,경기도 구리시,190843,0.129,구리시
시군,경기도 군포시,286026,0.138,군포시
시군,경기도 김포시,301328,0.124,김포시
시군,경기도 남양주시,609964,0.123,남양주시
시군,경기도 동두천시,97384,0.109,동두천시
시군,경기도 부천시,867329,0.136,부천시
구,경기도 부천시 소사구,230570,0.135,부천시소사구
구,경기도 부천시 오정구,190707,0.123,부천시오정구
구,경기도 부천시 원미구,446052,0.143,부천시원미구
구,경기도 성남시 분당구,490431,0.138,성남시분당구
구,경기도 성남시 수정구,231811,0.131,성남시수정구
구,경기도 성남시 중원구,258427,0.132,성남시중원구
구,경기도 수원시 권선구,331770,0.145,수원시권선구
구,경기도 수원시 영통구,302009,0.156,수원시영통구
구,경기도 수원시 장안구,297286,0.13,수원시장안구
구,경기도 수원시 팔달구,205878,0.136,수원시팔달구
시군,경기도 시흥시,398251,0.127,시흥시
구,경기도 안산시 단원구,332219,0.133,안산시단원구
구,경기도 안산시 상록구,382066,0.133,안산시상록구
시군,경기도 안성시,182297,0.112,안성시
구,경기도 안양시 동안구,357734,0.135,안양시동안구
구,경기도 안양시 만안구,251939,0.128,안양시만안구
시군,경기도 양주시,199373,0.112,양주시
시군,경기도 양평군,103086,0.08,양평군
시군,경기도 여주군,109343,0.096,여주군
시군,경기도 연천군,45673,0.08,연천군
시군,경기도 오산시,201164,0.153,오산시
구,경기도 용인시 기흥구,383895,0.137,용인시기흥구
구,경기도 용인시 수지구,332129,0.13,용인시수지구
구,경기도 용인시 처인구,212410,0.116,용인시처인구
시군,경기도 의왕시,159397,0.129,의왕시
시군,경기도 의정부시,429881,0.121,의정부시
시군,경기도 이천시,205321,0.124,이천시
시군,경기도 파주시,399081,0.122,파주시
시군,경기도 평택시,438064,0.12,평택시
시군,경기도 포천시,156814,0.095,포천시
시군,경기도 하남시,145451,0.119,하남시
시군,경기도 화성시,527787,0.136,화성시
시군,경기도 가평군,60886,0.079,가평군
구,경기도 고양시 덕양구,400521,0.123,고양시덕양구
구,경기도 고양시 일산동구,282889,0.134,고양시일산동구
구,경기도 고양시 일산서구,291772,0.123,고양시일산서구
시군,경기도 과천시,70861,0.117,과천시
시군,경기도 광명시,354580,0.139,광명시
시군,경기도 광주시,279823,0.124,광주시
시군,경기도 구리시,191117,0.129,구리시
시군,경기도 군포시,286406,0.138,군포시
시군,경기도 김포시,299289,0.123,김포시
시군,경기도 남양주시,608670,0.123,남양주시
시군,경기도 동두천시,97333,0.109,동두천시
시군,경기도 부천시,867998,0.136,부천시
구,경기도 부천시 소사구,230884,0.135,부천시소사구
구,경기도 부천시 오정구,191043,0.123,부천시오정구
구,경기도 부천시 원미구,446071,0.143,부천시원미구
구,경기도 성남시 분당구,490255,0.138,성남시분당구
구,경기도 성남시 수정구,232149,0.132,성남시수정구
구,경기도 성남시 중원구,258483,0.132,성남시중원구
구,경기도 수원시 권선구,332454,0.145,수원시권선구
구,경기도 수원시 영통구,301792,0.156,수원시영통구
구,경기도 수원시 장안구,292913,0.129,수원시장안구
구,경기도 수원시 팔달구,206464,0.136,수원시팔달구
시군,경기도 시흥시,398822,0.128,시흥시
구,경기도 안산시 단원구,332550,0.133,안산시단원구
구,경기도 안산시 상록구,382142,0.134,안산시상록구
시군,경기도 안성시,181933,0.113,안성시
구,경기도 안양시 동안구,358036,0.135,안양시동안구
구,경기도 안양시 만안구,252208,0.128,안양시만안구
시군,경기도 양주시,199366,0.113,양주시
시군,경기도 양평군,102849,0.081,양평군
시군,경기도 여주군,109345,0.096,여주군
시군,경기도 연천군,45646,0.079,연천군
시군,경기도 오산시,201149,0.154,오산시
구,경기도 용인시 기흥구,382631,0.137,용인시기흥구
구,경기도 용인시 수지구,331491,0.13,용인시수지구
구,경기도 용인시 처인구,211987,0.117,용인시처인구
시군,경기도 의왕시,158874,0.129,의왕시
시군,경기도 의정부시,430019,0.121,의정부시
시군,경기도 이천시,205142,0.125,이천시
시군,경기도 파주시,398544,0.122,파주시
