rank,img,title,artists,album
59,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/652/253/83652253_1679632743168_1_140x140.JPG/dims/resize/Q_80,0",밤이 무서워요 (Lonely Night),주주 시크릿,밤이 무서워요 (Lonely Night)
60,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/574/618/83574618_1677205061184_1_140x140.JPG/dims/resize/Q_80,0",사랑하기 싫어,지아 (Zia),사랑하기 싫어
61,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/417/569/82417569_1638329272770_1_140x140.JPG/dims/resize/Q_80,0",ELEVEN,IVE (아이브),ELEVEN
62,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/983/095/82983095_1666323297427_1_140x140.JPG/dims/resize/Q_80,0",Monologue,테이 (Tei),Monologue
63,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/428/324/83428324_1673571952840_1_140x140.JPG/dims/resize/Q_80,0",VIBE (Feat. Jimin of BTS),태양,VIBE
64,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/798/875/82798875_1656663217923_1_140x140.JPG/dims/resize/Q_80,0",그라데이션,10CM,5.3
65,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/602/752/82602752_1648117827255_1_140x140.JPG/dims/resize/Q_80,0",내가 아니라도,주호,내가 아니라도
66,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/545/399/81545399_1600401677905_1_140x140.JPG/dims/resize/Q_80,0",Dynamite,방탄소년단,Dynamite (DayTime Ver.)
67,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/651/870/82651870_1650613662156_1_140x140.JPG/dims/resize/Q_80,0",나의 X에게,경서,나의 X에게
68,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/732/573/83732573_1681437757420_1_140x140.JPG/dims/resize/Q_80,0",FRIEND THE END,볼빨간사춘기,사랑.zip
69,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/684/216/83684216_1680659141283_1_140x140.JPG/dims/resize/Q_80,0",빙글빙글 (Prod. by R.Tee),헤이즈 (Heize),빙글빙글
70,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/044/844/82044844_1651133261932_1_140x140.JPG/dims/resize/Q_80,0",Loving You Girl (Feat. Hkeem),Peder Elias,Love & Loneliness
71,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/814/458/82814458_1657270030475_1_140x140.JPG/dims/resize/Q_80,0",보고싶었어,WSG워너비 (4FIRE),WSG워너비 1집
72,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/669/125/82669125_1651458341829_1_140x140.JPG/dims/resize/Q_80,0",FEARLESS,LE SSERAFIM (르세라핌),FEARLESS
73,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/659/634/82659634_1663829189608_1_140x140.JPG/dims/resize/Q_80,0",Unholy,Sam Smith & Kim Petras,Unholy
74,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/327/370/83327370_1671527785845_1_140x140.JPG/dims/resize/Q_80,0",Say I Love You,우디 (Woody),Say I Love You (Re : WIND 4MEN Vol.04)
75,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/613/607/83613607_1679300973213_1_140x140.JPG/dims/resize/Q_80,0",Love Me Like This,NMIXX,expérgo
76,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/031/556/81031556_1656957034547_1_140x140.JPG/dims/resize/Q_80,0",2002,Anne-Marie,Speak Your Mind (Deluxe)
77,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/073/238/83073238_1665772282151_1_140x140.JPG/dims/resize/Q_80,0",When I Get Old,Christopher & 청하,When I Get Old
78,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/842/800/82842800_1659340238924_1_140x140.JPG/dims/resize/Q_80,0",Cookie,NewJeans,NewJeans 1st EP 'New Jeans'
79,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/699/369/83699369_1681177236277_1_140x140.JPG/dims/resize/Q_80,0",KNOCK,이채연,Over The Moon
